Energy,Ti,Va,Fe
-21.82492699115539,0.0,0.0,0.0
-16.860984823033863,0.0,0.0,0.0
-11.896802614921304,0.0,0.0,0.0
-6.932380366817718,0.0,0.0,0.0
-1.9677180787231023,0.0,0.0,0.0
2.9971842493625473,0.0,0.0,0.0
7.962326617439221,0.0,0.0,0.0
12.927709025506925,0.0,0.0,0.0
17.893331473565656,0.0,0.0,0.0
22.85919396161542,0.0,0.0,0.0
27.825296489656214,0.0,0.0,0.0
32.79163905768803,0.0,0.0,0.0
37.75822166571089,0.0,0.0,0.0
42.725044313724766,0.0,0.0,0.0
47.69210700172968,0.0,0.0,0.0
52.659409729725624,0.0,0.0,0.0
57.626952497712594,0.0,0.0,0.0
62.59473530569059,0.0,0.0,0.0
67.56275815365962,0.0,0.0,0.0
72.53102104161968,0.0,0.0,0.0
77.49952396957076,0.0,0.0,0.0
82.46826693751288,0.0,0.0,0.0
87.43724994544604,0.0,0.0,0.0
92.40647299337022,0.0,0.0,0.0
97.3759360812854,9.20573251696716e-07,8.891707395315852e-07,7.35708147693371e-07
102.34563920919166,6.438952675290014e-06,6.433243516383902e-06,5.349200867231612e-06
107.31558237708893,3.3474027959811656e-05,3.409490387317662e-05,2.8145299674827863e-05
112.28576558497721,0.00013615328956266242,0.00014093097202970097,0.00011632105955743552
117.25618883285654,0.00043476950238583356,0.00045968284712700954,0.000378547947957245
122.2268521207269,0.0010936923150070123,0.0011884534682571543,0.0009761971664663496
127.19775544858828,0.0021779305442985015,0.0024492207166001744,0.002009122944189852
132.16889881644067,0.003459937996655705,0.004052926214054783,0.0033352967379338214
137.14028222428414,0.004443099140168776,0.005439275353885656,0.004535784532988886
142.1119056721186,0.004718911809485192,0.00600628901351655,0.005162402246560813
147.0837691599441,0.004310210856764895,0.00558315924082132,0.005048064282964771
152.05587268776065,0.0035968796940377837,0.004538294068430179,0.0043663482984888785
157.0282162555682,0.0029633413069914665,0.0034167629271113966,0.0034630101906936665
162.00079986336678,0.0025927197248210737,0.002535699514658995,0.0026767092185702116
166.97362351115638,0.0024973006256310444,0.0019220890344847357,0.0022195615020022094
171.94668719893704,0.002588323652475244,0.001514589647988392,0.002117413164015468
176.91999092670872,0.002718255238970655,0.001304926195871585,0.0022602526879155734
181.8935346944714,0.0027603954853895793,0.0012917366301259709,0.0025262185837181465
186.86731850222517,0.002690068128539491,0.0013936608858782008,0.0028575513792095716
191.84134234996992,0.002579753709202171,0.0014807982985521632,0.003248371882427212
196.8156062377057,0.002537890730095623,0.0015023908132054612,0.003715826978233469
201.79011016543257,0.0026689636375863096,0.0015571697539187677,0.004285647791472456
206.7648541331504,0.003047278463336905,0.0018129565874686977,0.004950302860466499
